id1,id2,value
344,289,0.102778
344,312,0.0709076
344,349,0.0525267
344,373,0.0510259
344,2330,0.0466809
344,59,0.0423472
344,300,0.0408719
344,348,0.0384872
344,717,0.037506
344,736,0.0334489
345,242,0.323109
345,737,0.202993
345,367,0.168202
345,632,0.160878
345,223,0.148024
345,482,0.102
345,1894,0.0833934
345,259,0.0702465
345,658,0.0594843
345,77,0.0545005
346,495,0.100326
346,1975,0.0530396
346,1117,0.0429442
346,57,0.0414836
346,342,0.0358755
346,481,0.0339584
346,8,0.0280698
346,584,0.0268647
346,1118,0.025705
346,357,0.0212233
347,13,0.246798
347,223,0.222211
347,96,0.1522
347,467,0.145791
347,294,0.111097
347,215,0.103672
347,3067,0.0966254
347,292,0.0887606
347,310,0.0808412
347,630,0.0784775
340,737,0.142969
340,380,0.134873
340,2026,0.101476
340,1117,0.0977114
340,306,0.0964649
340,603,0.0955858
340,607,0.0902948
340,321,0.0900005
340,78,0.0883217
340,21,0.0821517
341,39,0.16848
341,370,0.101451
341,720,0.0885674
341,301,0.0833425
341,561,0.0819897
341,583,0.0717149
341,2345,0.0695188
341,242,0.068534
341,88,0.0613182
341,367,0.0609718
342,706,0.169998
342,481,0.133527
342,192,0.112607
342,86,0.110969
342,371,0.087386
342,328,0.0864978
342,1,0.0847154
342,68,0.0843988
342,323,0.0829236
342,708,0.0800132
343,483,0.281197
343,553,0.275504
343,494,0.123985
343,374,0.10801
343,296,0.0903371
343,2129,0.0755665
343,351,0.0575401
343,46,0.0567804
343,1691,0.0554359
343,318,0.0538081
348,601,0.223182
348,382,0.151229
348,380,0.150836
348,328,0.110531
348,1127,0.108755
348,658,0.105959
348,379,0.105013
348,351,0.0760254
348,5,0.0736065
348,1396,0.0717172
349,286,0.179266
349,713,0.176484
349,1376,0.171354
349,672,0.15637
349,602,0.134207
349,719,0.131644
349,642,0.101065
349,725,0.100993
349,49,0.0870188
349,278,0.085912
719,713,0.330182
719,286,0.211101
719,349,0.131644
719,244,0.12549
719,602,0.104626
719,255,0.102007
719,712,0.101772
719,366,0.0996401
719,698,0.093683
719,604,0.0936187
717,720,0.140963
717,603,0.13028
717,308,0.127537
717,2345,0.113312
717,299,0.109507
717,242,0.109313
717,305,0.0976942
717,367,0.0892558
717,339,0.0887903
717,88,0.0832209
714,1894,0.214447
714,1376,0.113408
714,493,0.09817
714,606,0.0807247
714,682,0.062384
714,719,0.0621626
714,59,0.0516231
714,605,0.0503846
714,712,0.0495314
714,349,0.0469426
713,719,0.330182
713,286,0.253246
713,349,0.176484
713,2001,0.169706
713,712,0.10058
713,1376,0.0944993
713,317,0.0557428
713,287,0.0453591
713,604,0.0444844
713,181,0.0426345
712,148,0.228164
712,6,0.130695
712,253,0.118024
712,719,0.101772
712,713,0.10058
712,286,0.0903254
712,84,0.0719072
712,266,0.0658264
712,710,0.0577177
712,349,0.0550991
711,1376,0.115146
711,258,0.0934798
711,2183,0.0904569
711,672,0.0815373
711,605,0.0703283
711,710,0.064544
711,176,0.0584096
711,95,0.0565843
711,554,0.0549543
711,342,0.0513993
710,672,0.339468
710,246,0.207658
710,176,0.10066
710,286,0.0875513
710,356,0.0709917
710,719,0.0680394
710,556,0.0646266
710,711,0.064544
710,255,0.0605937
710,38,0.059804
298,553,0.156493
298,85,0.130302
298,70,0.128878
298,554,0.127535
298,259,0.126303
298,675,0.123246
298,582,0.121453
298,296,0.113797
298,375,0.100765
298,367,0.0877465
299,308,0.267072
299,640,0.18685
299,351,0.135991
299,717,0.109507
299,58,0.0992432
299,495,0.0916237
299,665,0.0911445
299,70,0.077954
299,18,0.0700197
299,625,0.0698287
296,553,0.182356
296,554,0.17008
296,367,0.117911
296,298,0.113797
296,98,0.107232
296,343,0.0903371
296,104,0.0899833
296,319,0.0898429
296,46,0.0873646
296,371,0.0739269
297,367,0.094316
297,7,0.0728442
297,624,0.0694857
297,52,0.0652455
297,362,0.0646204
297,255,0.0613051
297,317,0.0596569
297,264,0.0560372
297,559,0.0514247
297,274,0.0500226
294,96,0.389213
294,467,0.249531
294,292,0.19858
294,45,0.158191
294,10,0.121295
294,223,0.117645
294,347,0.111097
294,285,0.100467
294,2345,0.0984292
294,11,0.0928345
295,292,0.17152
295,242,0.140716
295,1397,0.114471
295,165,0.0804372
295,2026,0.0744794
295,308,0.0744539
295,271,0.0743091
295,267,0.0605465
295,45,0.059137
295,223,0.0587865
292,96,0.262508
292,294,0.19858
292,308,0.192806
292,642,0.1848
292,467,0.179535
292,45,0.174074
292,295,0.17152
292,223,0.163202
292,2714,0.150195
292,1485,0.145409
293,29,0.0935498
293,492,0.0844142
293,16,0.0558141
293,584,0.0480633
293,67,0.0476862
293,2329,0.0466025
293,79,0.0456438
293,333,0.0412718
293,378,0.0373767
293,20,0.0360522
290,550,0.360754
290,259,0.147372
290,184,0.140518
290,658,0.13742
290,85,0.123941
290,675,0.115375
290,497,0.0966948
290,665,0.0954886
290,1889,0.0916796
290,70,0.0887145
291,492,0.113021
291,504,0.110926
291,474,0.0855226
291,727,0.0745369
291,16,0.0640769
291,61,0.0624952
291,586,0.0570789
291,2129,0.0543415
291,88,0.0503272
291,694,0.0483308
599,125,0.183754
599,153,0.167694
599,2,0.164946
599,625,0.133989
599,35,0.118435
599,551,0.0894267
599,2136,0.0871283
599,377,0.0732989
599,57,0.0647053
599,323,0.0611879
598,487,0.216683
598,83,0.150171
598,355,0.100067
598,306,0.0833038
598,52,0.0829564
598,337,0.0731263
598,286,0.0729228
598,305,0.0649626
598,67,0.0641082
598,720,0.0444848
1122,86,0.0755938
1122,62,0.0754554
1122,259,0.0728251
1122,87,0.0675957
1122,481,0.0631995
1122,166,0.0597869
1122,33,0.0574108
1122,95,0.0535766
1122,16,0.052949
1122,72,0.0524311
191,482,0.0603295
191,287,0.058651
191,311,0.0395007
191,49,0.0370381
191,288,0.0363204
191,332,0.0290393
191,75,0.0276327
191,54,0.0241961
191,497,0.0235943
191,674,0.022295
193,361,0.122319
193,25,0.110894
193,326,0.101388
193,26,0.0807626
193,271,0.0713002
193,107,0.0581232
193,60,0.0579574
193,20,0.0493729
193,650,0.0432499
193,327,0.0379151
192,706,0.214704
192,8,0.181342
192,331,0.155739
192,86,0.147323
192,342,0.112607
192,472,0.0943435
192,701,0.092605
192,24,0.0820488
192,266,0.0768843
192,318,0.0756581
271,317,0.141726
271,322,0.123725
271,36,0.108931
271,3067,0.107121
271,605,0.1003
271,284,0.0931715
271,44,0.0786283
271,180,0.0753113
271,295,0.0743091
271,193,0.0713002
272,9,0.3453
272,479,0.132924
272,1889,0.118203
272,468,0.105436
272,166,0.102574
272,490,0.101093
272,90,0.095383
272,80,0.0915001
272,369,0.0875077
272,335,0.0838367
274,264,0.127476
274,362,0.107374
274,285,0.0942069
274,471,0.0923579
274,333,0.0697719
274,353,0.0583153
274,118,0.056147
274,299,0.054114
274,1975,0.0523972
274,485,0.0512962
275,379,0.151621
275,276,0.141085
275,200,0.124693
275,72,0.117026
275,63,0.117025
275,77,0.113185
275,361,0.109582
275,483,0.102087
275,259,0.0944578
275,281,0.0925988
276,189,0.168021
276,256,0.144445
276,275,0.141085
276,279,0.125777
276,305,0.120984
276,96,0.118126
276,483,0.11225
276,322,0.110355
276,72,0.103851
276,25,0.0976511
277,50,0.248881
277,472,0.132551
277,54,0.118498
277,75,0.115992
277,8,0.107615
277,728,0.0926106
277,280,0.0499931
277,722,0.0475458
277,306,0.0375441
277,255,0.0357285
278,49,0.172086
278,64,0.124639
278,658,0.120523
278,497,0.106333
278,267,0.0894379
278,349,0.085912
278,642,0.0761217
278,290,0.069498
278,286,0.0667984
278,119,0.0601205
279,189,0.361694
279,600,0.310045
279,501,0.251752
279,485,0.144097
279,276,0.125777
279,96,0.119752
279,309,0.0857639
279,223,0.0777188
279,305,0.0763716
279,561,0.0709346
102,80,0.168659
102,46,0.147172
102,39,0.141829
102,72,0.135709
102,104,0.129331
102,77,0.120343
102,180,0.118409
102,561,0.115748
102,189,0.0956944
102,589,0.093856
101,180,0.203467
101,98,0.170009
101,104,0.158129
101,1160,0.111963
101,496,0.111096
101,51,0.108535
101,135,0.100397
101,85,0.0907787
101,125,0.0823973
101,322,0.0695573
107,26,0.169575
107,20,0.160944
107,37,0.150543
107,180,0.147585
107,650,0.103664
107,284,0.094307
107,102,0.083847
107,104,0.0832318
107,98,0.0776086
107,271,0.0702149
104,180,0.361184
104,700,0.268628
104,101,0.158129
104,72,0.157168
104,57,0.138829
104,98,0.138507
104,102,0.129331
104,371,0.112269
104,96,0.110139
104,125,0.109238
39,561,0.243745
39,2345,0.193247
39,304,0.19258
39,352,0.178419
39,341,0.16848
39,102,0.141829
39,32,0.131172
39,665,0.121485
39,119,0.0966974
39,78,0.0858788
38,472,0.236587
38,331,0.218961
38,176,0.214585
38,314,0.199242
38,318,0.1981
38,122,0.196411
38,64,0.190022
38,332,0.172454
38,682,0.149595
38,707,0.141789
33,259,0.116185
33,28,0.0780379
33,27,0.0757896
33,283,0.0629974
33,282,0.0574693
33,1122,0.0574108
33,320,0.0568987
33,280,0.0509381
33,728,0.0492238
33,176,0.0459931
32,286,0.200053
32,39,0.131172
32,561,0.0844787
32,606,0.0835732
32,2345,0.0829308
32,605,0.0814753
32,102,0.0777976
32,56,0.0640973
32,46,0.0626733
32,362,0.0587114
31,13,0.0883896
31,2345,0.083719
31,296,0.07093
31,502,0.0663359
31,319,0.0647915
31,624,0.0616535
31,125,0.0600813
31,12,0.0586965
31,587,0.056931
31,731,0.0553323
30,37,0.245522
30,63,0.107263
30,620,0.0892618
30,360,0.0758041
30,625,0.0705271
30,469,0.0661573
30,60,0.0647838
30,316,0.0636494
30,305,0.0544222
30,664,0.0523309
37,30,0.245522
37,650,0.169387
37,301,0.166751
37,107,0.150543
37,665,0.150396
37,63,0.120611
37,28,0.117651
37,282,0.111159
37,76,0.108055
37,286,0.0929424
36,355,0.115841
36,271,0.108931
36,583,0.103506
36,21,0.0943625
36,339,0.0745043
36,2714,0.0720395
36,165,0.0661718
36,641,0.0658056
36,720,0.0655285
36,361,0.0593325
35,551,0.217429
35,587,0.122589
35,599,0.118435
35,63,0.0893142
35,2,0.0862032
35,309,0.0817968
35,88,0.069354
35,47,0.0608446
35,275,0.0534223
35,85,0.0525101
34,500,0.188416
34,305,0.182518
34,307,0.111726
34,248,0.0998698
34,267,0.0881863
34,223,0.0783757
34,83,0.073133
34,355,0.0676213
34,489,0.0638025
34,72,0.0635265
641,67,0.111186
641,27,0.0886865
641,550,0.0881589
641,47,0.0875152
641,706,0.0854902
641,125,0.0796209
641,331,0.0746465
641,476,0.0715097
641,722,0.069952
641,24,0.0676001
640,299,0.18685
640,554,0.10586
640,479,0.102675
640,54,0.0701347
640,486,0.0580617
640,499,0.0499836
640,719,0.0462385
640,711,0.0420207
640,622,0.0411953
640,495,0.0389247
642,292,0.1848
642,253,0.136346
642,1485,0.121809
642,258,0.121713
642,349,0.101065
642,672,0.0920101
642,49,0.0886188
642,50,0.0777338
642,278,0.0761217
642,286,0.0737439
339,125,0.182785
339,585,0.0912504
339,2,0.0897001
339,717,0.0887903
339,59,0.0746151
339,36,0.0745043
339,62,0.0646526
339,625,0.0516411
339,696,0.049937
339,1157,0.0495718
338,27,0.119555
338,58,0.111551
338,469,0.0675209
338,280,0.0632938
338,320,0.0593844
338,1118,0.0581701
338,599,0.0333187
338,316,0.0297461
338,76,0.0272959
338,321,0.0272053
335,14,0.221639
335,471,0.193822
335,604,0.157928
335,55,0.116939
335,69,0.10687
335,489,0.0900922
335,272,0.0838367
335,64,0.0792552
335,1119,0.0748615
335,89,0.0646686
334,166,0.185142
334,41,0.125707
334,38,0.120723
334,323,0.0808496
334,730,0.0676511
334,1894,0.0649486
334,272,0.0610011
334,380,0.0602949
334,707,0.0589333
334,1396,0.0585685
337,487,0.364334
337,83,0.133764
337,500,0.119617
337,665,0.1139
337,43,0.0972814
337,373,0.0758882
337,598,0.0731263
337,502,0.0715859
337,556,0.061145
337,42,0.0600251
336,22,0.246007
336,135,0.110716
336,26,0.103168
336,184,0.0739561
336,29,0.064886
336,499,0.0634624
336,302,0.0601235
336,557,0.0598781
336,363,0.0578329
336,101,0.0561776
331,472,0.353112
331,318,0.315941
331,64,0.309194
331,24,0.29207
331,682,0.260412
331,122,0.25922
331,176,0.248515
331,332,0.223638
331,38,0.218961
331,192,0.155739
333,301,0.132664
333,362,0.126992
333,1394,0.115863
333,264,0.112895
333,70,0.100132
333,1397,0.0962019
333,27,0.0914444
333,467,0.0874913
333,88,0.0820259
333,707,0.0794428
332,472,0.286825
332,64,0.231657
332,318,0.230421
332,331,0.223638
332,176,0.187771
332,122,0.17426
332,38,0.172454
332,682,0.154036
332,49,0.132076
332,314,0.115876
6,253,0.207351
6,698,0.173244
6,602,0.148344
6,712,0.130695
6,486,0.10094
6,321,0.0976648
6,658,0.0877748
6,601,0.0745865
6,1118,0.066985
6,350,0.0657005
98,101,0.170009
98,53,0.168641
98,559,0.165086
98,104,0.138507
98,180,0.132382
98,4,0.128208
98,296,0.107232
98,96,0.105386
98,256,0.103882
98,554,0.0967436
91,589,0.0980241
91,705,0.0618187
91,499,0.0581455
91,165,0.0406097
91,307,0.0340976
91,258,0.0337613
91,380,0.032865
91,102,0.0322426
91,465,0.0316743
91,80,0.0304485
90,561,0.192153
90,46,0.12457
90,5,0.118622
90,69,0.117443
90,586,0.112872
90,272,0.095383
90,96,0.0846232
90,98,0.0812844
90,102,0.0772283
90,63,0.071685
92,37,0.0894169
92,244,0.0779317
92,89,0.067825
92,88,0.0655263
92,665,0.0633509
92,2,0.061461
92,720,0.0608282
92,1118,0.0574951
92,599,0.0545037
92,263,0.0517954
95,162,0.232631
95,246,0.140115
95,585,0.127935
95,69,0.0991935
95,176,0.085439
95,2183,0.0749997
95,64,0.0671378
95,711,0.0565843
95,1122,0.0535766
95,2329,0.0529287
96,294,0.389213
96,467,0.33292
